id;uid;profile_biz_id;phone_number;phone_iso_code;phone_code;user_email;user_first_name;user_last_name;token_letter;token_number;service_name;service_id;terminal_name;terminal_id;org_terminal_name;org_terminal_id;status_name;status_code;is_pending;is_queue;is_reject;is_absent;is_cancel;is_recall;is_completed;is_timeout;assigned_date;assigned_year;assigned_month;assigned_day;assigned_hour;assigned_min;assigned_time_zone_offset;assigned_time_zone_name;assigned_now;assigned_uid;completed_year;completed_month;completed_day;completed_hour;completed_min;completed_time_zone_offset;completed_time_zone_name;completed_now;completed_date;completed_uid;created_year;created_month;created_day;created_hour;created_min;created_time_zone_offset;created_time_zone_name;created_now;created_date;modified_year;modified_month;modified_day;modified_hour;modified_min;modified_time_zone_offset;modified_time_zone_name;modified_now;modified_date;transfered_year;transfered_month;transfered_day;transfered_hour;transfered_min;transfered_date;transfered_time_zone_offset;transfered_time_zone_name;transfered_now;transfered_uid;issued_from;department_id;department_name;biz_name;rating;feedback;sms_coming_count;push_coming_count;order_id;reset;reset_date;reset_uid
1;29136;7999;our ew so;ideal intoxicate glint;instead upright;below;for separately legitimate;amidst oats;than blackboard;3475;stream;11945;darkness disguise psst;22197;rudely;16569;deceivingly sans till;2666;false;true;true;true;true;false;false;true;13824;16303;16539;16045;3356;6860;17083;gossip rapidly deaden;but how uh-huh;20172;32410;25160;24596;14743;2471;29300;up intently spurn;mmm scribble;32688;5815;23510;3656;18545;21031;20143;26815;wee;glamorise well zowie;28562;4865;13231;954;5023;31901;27963;big phew genuine;correlate but;16490;30747;19854;15127;17565;26159;18002;10623;ick highly answer;authorized nutrient provided;21790;indeed harmful drape;17338;slippery;that;27573.19;high;23048;11879;aha call mid;true;30519;2629
2;9801;5317;about zowie;anxiously geez acidic;bright since bah;ferociously;yahoo;bratwurst oof;young prostanoid triumphantly;7532;than supposing than;3881;glistening;29919;withdrawal phew;23853;hmph;29855;false;false;false;false;true;false;false;false;5912;25746;7464;8505;27938;16077;14927;watchmaker within;in;11520;20114;14672;1025;24110;29027;32557;unabashedly;wherever than alongside;6889;4225;30585;14232;12695;28627;4533;18986;well-documented;darling who;9256;15292;31207;16579;4315;28361;6782;uh-huh;phew;2315;10577;10002;8716;7087;11556;6951;29339;distinct or nickel;obstruct tennis when;26169;clear;31321;for poorly;nightlife submit;6663.24;gadzooks;27185;29259;throughout boohoo;true;30960;17794
3;5611;12264;whenever;eaves;duck famous between;vapid ethnicity;grab-bag;supposing why off;blah if hop;25307;er;28675;grab-bag whirr oof;14455;room wind;28044;familiar;14945;false;true;false;true;true;true;false;false;31110;20659;7035;4115;3650;28104;659;versus down;gladly supposing;1684;18589;22550;8764;29466;12419;10140;adventurously playfully;gadzooks;9718;21438;26861;25837;2554;25427;15251;23719;cultivated notice;beneath apud karate;21537;2777;24976;30931;7290;16079;9022;solemnly;blah whenever difficult;24098;9084;30407;10391;4530;6555;11525;15651;besides trampoline;why;1497;supposing optimistic;17037;fuel;eventually among;17669.46;interrupt drat hmph;4234;7106;times upwardly fast;true;16988;1698
4;15078;23183;avenge ugh within;lightly;apprise surprise;extra-large whether bulldoze;whenever because;geez;peruse adapt well-to-do;22110;underneath atop meanwhile;8524;now circular big;20668;incinerate cholesterol;15395;knavishly;5634;false;true;false;true;false;true;false;true;5499;15653;3390;30243;30204;19592;16704;nor abaft elaborate;above unnecessarily by;810;24926;6727;26576;12938;31090;1687;who;abaft unexpectedly;10012;12246;28208;25512;5818;20576;29956;671;foreshadow eek document;whoever;2001;2616;22891;7010;2864;21743;20409;abridge outside;determined strictly lest;13050;21502;9610;11359;12341;13368;4711;15911;supposing;who;22153;now so gosh;31751;likewise;oxidize;11843.49;smoothly whereas including;1588;22108;and;false;24401;27748
5;9123;29223;apropos;knowing dough politely;infiltration disport focus;frank deluge;tart;marketing metabolite likewise;first bravely orient;11252;stagger blank;17365;emitter vice onto;1155;meh who;26495;upward merrily;18715;true;true;false;true;false;true;false;false;28060;7726;14035;5676;16962;14524;6427;why grandmom;toughen unhappy unabashedly;25005;11999;740;12742;19432;6966;6841;estuary gosh billion;klutzy;29252;31271;22869;31681;26661;27420;763;4263;spry oh;circa closed;23733;15026;22648;26728;7879;13778;7749;against;often;22614;6733;28167;637;31441;8908;13783;19744;finally ouch fatten;however more charge;5291;yuck drat;8046;consequently;like and riot;6739.84;traumatize interval beyond;477;164;yowza;false;1645;12971
6;1284;20795;lest;provided;phew logistics subject;since;about;shrill whose;cat cleverly empty;29345;pfft;32038;yuck billet wetly;3817;remainder or;9415;because since yuck;24555;false;true;true;false;true;false;true;false;18204;9685;15662;29841;30156;26138;902;upwardly;until;2481;18489;9051;11016;18940;27320;26106;vainly known concerning;beyond coolly;9792;4640;6327;13196;6840;11144;1206;2080;than beside talent;buddy;30450;8957;223;6979;26080;1326;24312;gadzooks;stunning chortle;888;19549;3983;19623;11295;25419;29748;10503;zowie jovially lapse;truthfully instantly;26659;for;29305;clear meanwhile;well-to-do supper as;9304.71;boohoo inasmuch shoat;30291;10979;purple on;false;20321;3972
7;15537;13548;credential into;whenever;via insert when;credibility opposite anti;marimba;meh;hmph peaceful shrilly;30114;who;15829;oh alpenglow;20559;off boohoo yippee;19898;awkwardly the equatorial;12711;false;false;false;true;false;false;true;false;20760;31284;17383;23308;14791;3746;8601;ick for widow;purchase for;16291;15960;9240;16881;26202;6142;18743;phew;unexpectedly jab;28915;25592;18622;7052;24575;26850;21394;4509;sinful smoggy sans;education given;11905;10178;10992;30065;9339;15387;5327;times;clothing after until;23991;1514;31451;25923;8402;24641;7311;16349;hence near;pro;4422;when;31518;turret dribble amidst;yuck balls;23881;er;12052;4108;joyously;false;18676;29170
8;24805;24923;ick governance;though;before while;aboard meh;questionably inquisitively;ford aha atop;truthfully beautifully;8029;ideology expensive excepting;14935;mini-skirt;10838;excluding oof far;26871;consequently;26007;true;false;true;false;true;true;true;true;22759;10010;20408;29955;12876;8211;14314;amidst;digitise tinkling;22683;7552;32236;9620;875;30771;30006;silver huzzah end;whose;11557;30549;32614;12341;13669;16930;16433;8994;during mold tough;geez at beneath;15861;13391;26370;18044;14701;8795;2836;throughout yahoo;chess ew;20480;29580;6143;14496;26966;9278;9489;15946;fluster coconut indeed;a;1411;rent;9489;topic shameless;now excluding;59.39;naturally magnify;28126;14221;showy;true;13269;31435
9;14205;31504;past;disenfranchise traumatic;fictionalise;wet tabletop understated;textual slip frantically;so;worrisome;15297;primate fortress;21001;loudly inside highly;9422;nor;1294;yippee intentional before;18698;false;true;false;true;true;false;true;true;28276;5700;31242;4989;15774;2887;18887;specific;sweetly;9106;31992;27053;20897;27508;13623;11993;within responsibility;aw frantically;30304;5913;18887;24888;7274;19011;7254;22426;meager ha;gee fiercely;13642;12390;24979;24138;32738;675;8309;aha incidentally than;huzzah hoax sponge;13453;24774;8476;18650;2951;26089;22956;19366;pardon abstain relieved;wheeze till;19908;tree yuck;23277;before fast knowledgeably;kindly an;2096.22;zowie;13481;1252;rowdy mid;true;27288;20678
10;6604;8186;black disastrous;disarm meh;ew;below instrumentalist;jaggedly;teeming;freely whoever both;15414;geez continually birch;24467;um boohoo even;28045;ultimately bright;22438;noisy;9870;false;false;false;true;false;true;true;false;30137;13097;30494;10516;18898;29382;5516;hm;core;7694;2058;3593;10461;16627;23847;13738;jaggedly;wasteful;11752;12186;2956;6837;30467;23169;10479;2736;estuary jug;whoever;8016;27348;10939;2045;5114;15593;32455;whose steel;interestingly psst;7515;9023;23327;26923;13124;21255;29606;4713;eyeliner;swiftly than mother;24042;searchingly the midst;814;proud;duh;27263.91;blah;6096;21176;arrange following;false;29706;27603
